Roanoke-Blacksburg Regional Airport                    Roanoke                     United States               ROA  KROA   37.32051     -79.97038           5    -5
Cassidy International Airport                          Kiritimati                  Kiribati                    CXI  PLCH    1.9861600399-157.3500061035     5   -12
Fitiuta Airport                                        Fitiuta                     American Samoa              FTI  NSFQ        -14.2172    -169.425003   110   -11
Niue International Airport                             Alofi                       Niue                        IUE  NIUE  -19.0790309906-169.9255981445   209   -11
Henderson Field                                        Midway                      Midway Islands              MDY  PMDY   28.2017002106-177.3809967041    13   -11
Pago Pago International Airport                        Pago Pago                   American Samoa              PPG  NSTU  -14.3310003281 -170.710006714    32   -11
Anaa Airport                                           Anaa                        French Polynesia            AAA  NTGA  -17.3526000977-145.5099945068    10   -10
Adak Airport                                           Adak Island                 United States               ADK  PADK   51.8779983521-176.6459960938    18   -10
Ahe Airport                                            Ahe                         French Polynesia            AHE  NTHE  -14.4280996323-146.2570037842    11   -10
Aitutaki Airport                                       Aitutaki                    Cook Islands                AIT  NCAI  -18.8309001923-159.7640075684    14   -10
Enua Airport                                           Atiu Island                 Cook Islands                AIU  NCAT  -19.9678001404-158.1190032959    36   -10
Atka Airport                                           Atka                        United States               AKB  PAAK     52.22029877   -174.2059937    57   -10
Apataki Airport                                        Apataki                     French Polynesia            APK  NTGD  -15.5735998154-146.4149932861     8   -10
Wake Island Airfield                                   Wake island                 Wake Island                 AWK  PWAK   19.2821006775 166.6360015869    14   -10
Arutua Airport                                         Arutua                      French Polynesia            AXR  NTGU  -15.2482995987-146.6170043945     9   -10
Barking Sands Airport                                  Barking Sands               United States               BKH  PHBK   22.0228004456 -159.785003662    23   -10
Bora Bora Airport                                      Bora Bora                   French Polynesia            BOB  NTTB  -16.4444007874-151.7510070801    10   -10
Bradshaw Army Airfield                                 Bradshaw Field              United States               BSF  PHSF    19.760099411 -155.554000854  6190   -10
Fakarava Airport                                       Fakarava                    French Polynesia            FAV  NTGF  -16.0541000366-145.6569976807    13   -10
Dillingham Airfield                                    Dillingham                  United States               HDH  PHDH   21.5795001984 -158.197006226    14   -10
Wheeler Army Airfield                                  Wahiawa                     United States               HHI  PHHI     21.48349953   -158.0399933   837   -10
Honolulu International Airport                         Honolulu                    United States               HNL  PHNL   21.3187007904-157.9219970703    13   -10
Hana Airport                                           Hana                        United States               HNM  PHHN   20.7956008911-156.0140075684    78   -10
Hao Airport                                            Hao Island                  French Polynesia            HOI  NTTO  -18.0748004913-140.9459991455    10   -10
Huahine-Fare Airport                                   Huahine Island              French Polynesia            HUH  NTTH  -16.6872005463-151.0220031738     7   -10
Hilo International Airport                             Hilo                        United States               ITO  PHTO   19.7213993073-155.0480041504    38   -10
Kapalua Airport                                        Lahania-kapalua             United States               JHM  PHJH   20.9629001617-156.6730041504   256   -10
Johnston Atoll Airport                                 Johnston Island             Johnston Atoll              JON  PJON   16.7285995483 -169.533996582     7   -10
Kaukura Airport                                        Kaukura Atoll               French Polynesia            KKR  NTGK  -15.6632995605-146.8849945068    11   -10
Kona International At Keahole Airport                  Kona                        United States               KOA  PHKO   19.7388000488 -156.046005249    47   -10
Lihue Airport                                          Lihue                       United States               LIH  PHLI   21.9759998322-159.3390045166   153   -10
Lanai Airport                                          Lanai                       United States               LNY  PHNY   20.7856006622-156.9510040283  1308   -10
Kalaupapa Airport                                      Molokai                     United States               LUP  PHLU     21.21100044    -156.973999    24   -10
Maupiti Airport                                        Maupiti                     French Polynesia            MAU  NTTP  -16.4265003204-152.2440032959    15   -10
Mangaia Island Airport                                 Mangaia Island              Cook Islands                MGS  NCMG   -21.895986557-157.9066619873    45   -10
Manihiki Island Airport                                Manihiki Island             Cook Islands                MHX  NCMH  -10.3767004013-161.0019989014     0   -10
Molokai Airport                                        Molokai                     United States               MKK  PHMK   21.1529006958 -157.095993042   454   -10
Makemo Airport                                         Makemo                      French Polynesia            MKP  NTGM  -16.5839004517-143.6580047607     3   -10
Mitiaro Island Airport                                 Mitiaro Island              Cook Islands                MOI  NCMR  -19.8425006866-157.7030029297    25   -10
Moorea Airport                                         Moorea                      French Polynesia            MOZ  NTTM  -17.4899997711-149.7619934082     9   -10
Waimea Kohala Airport                                  Kamuela                     United States               MUE  PHMU   20.0013008118-155.6679992676  2671   -10
Mauke Airport                                          Mauke Island                Cook Islands                MUK  NCMK   -20.136100769-157.3450012207    26   -10
Mataiva Airport                                        Mataiva                     French Polynesia            MVT  NTGV  -14.8681001663-148.7169952393    11   -10
Kaneohe Bay MCAS (Marion E. Carl Field) Airport        Kaneohe Bay                 United States               NGF  PHNG   21.4505004883 -157.768005371    24   -10
Naiu Airport                                           Niau                        French Polynesia            NIU  NTKN        -16.1191      -146.3683    50   -10
Kahului Airport                                        Kahului                     United States               OGG  PHOG   20.8985996246-156.4299926758    54   -10
Puka Puka Airport                                      Puka Puka                   French Polynesia            PKP  NTGP  -14.8094997406  -138.81300354     5   -10
Faa'a International Airport                            Papeete                     French Polynesia            PPT  NTAA  -17.5536994934 -149.606994629     5   -10
Pukarua Airport                                        Pukarua                     French Polynesia            PUK  NTGQ  -18.2956008911 -137.016998291     5   -10
Tongareva Airport                                      Penrhyn Island              Cook Islands                PYE  NCPY   -9.0143699646 -158.032409668     8   -10
Rarotonga International Airport                        Avarua                      Cook Islands                RAR  NCRG  -21.2026996613 -159.805999756    19   -10
Reao Airport                                           Reao                        French Polynesia            REA  NTGE  -18.4659004211-136.4400024414    12   -10
Raiatea Airport                                        Raiatea Island              French Polynesia            RFP  NTTR        -16.7229    -151.466003     3   -10
Rangiroa Airport                                       Rangiroa                    French Polynesia            RGI  NTTG  -14.9542999268-147.6609954834    10   -10
Rimatara Airport                                       Rimatara                    French Polynesia            RMT  NTAM       -22.63725      -152.8059    60   -10
Rurutu Airport                                         Rurutu                      French Polynesia            RUR  NTAR  -22.4340991974-151.3609924316    18   -10
Raivavae Airport                                       Raivavae                    French Polynesia            RVV  NTAV  -23.8852005005 -147.662002563     7   -10
Tikehau Airport                                        Tikehau                     French Polynesia            TIH  NTGC   -15.119600296-148.2310028076     6   -10
Takapoto Airport                                       Takapoto                    French Polynesia            TKP  NTGT  -14.7095003128-145.2460021973    12   -10
Takaroa Airport                                        Takaroa                     French Polynesia            TKX  NTKR  -14.4558000565-145.0249938965    13   -10
Tetiaroa Airport                                       Tetiaroa                    French Polynesia            TTI  NTTE   -17.013299942-149.5870056152     7   -10
Tubuai Airport                                         Tubuai                      French Polynesia            TUB  NTAT  -23.3654003143-149.5240020752     7   -10
Upolu Airport                                          Opolu                       United States               UPP  PHUP   20.2653007507-155.8600006104    96   -10
Waikoloa Heliport                                      Waikoloa Village            United States               WKL  HI07         19.9205      -155.8607   119   -10
Manihi Airport                                         Manihi                      French Polynesia            XMH  NTGI  -14.4368000031-146.0700073242    14   -10
Tureia Airport                                         Tureia                      French Polynesia            ZTA  NTGY  -20.7896995544-138.5700073242    12   -10
Hiva Oa-Atuona Airport                                 Hiva-oa                     French Polynesia            AUQ  NTMN   -9.7687902451 -139.011001587  1481  -9.5
Nuku Hiva Airport                                      Nuku Hiva                   French Polynesia            NHV  NTMD   -8.7955999374-140.2290039063   220  -9.5
Ua Huka Airport                                        Ua Huka                     French Polynesia            UAH  NTMU   -8.9361095428-139.5520019531   160  -9.5
Ua Pou Airport                                         Ua Pou                      French Polynesia            UAP  NTMP   -9.3516702652-140.0780029297    16  -9.5
Ambler Airport                                         Ambler                      United States               ABL  PAFM    67.106300354 -157.856994629   334    -9
Kodiak Airport                                         Kodiak                      United States               ADQ  PADQ           57.75   -152.4940033    78    -9
Allakaket Airport                                      Allakaket                   United States               AET  PFAL   66.5518035889 -152.621994019   441    -9
Kake Airport                                           Kake                        United States               AFE  PAFE   56.9613990784 -133.910003662   172    -9
Angoon Seaplane Base                                   Angoon                      United States               AGN  PAGN       57.503601    -134.585007     0    -9
Wainwright Airport                                     Wainwright                  United States               AIN  PAWI   70.6380004883 -159.994995117    41    -9
Akiak Airport                                          Akiak                       United States               AKI  PFAK   60.9029006958 -161.231002808    30    -9
Akhiok Airport                                         Akhiok                      United States               AKK  PAKH   56.9387016296 -154.182998657    44    -9
King Salmon Airport                                    King Salmon                 United States               AKN  PAKN     58.67679977   -156.6490021    73    -9
Anaktuvuk Pass Airport                                 Anaktuvuk Pass              United States               AKP  PAKP     68.13359833   -151.7429962  2102    -9
Ted Stevens Anchorage International Airport            Anchorage                   United States               ANC  PANC   61.1744003296-149.9960021973   152    -9
Aniak Airport                                          Aniak                       United States               ANI  PANI   61.5816001892-159.5429992676    88    -9
Annette Island Airport                                 Annette Island              United States               ANN  PANT   55.0424003601-131.5720062256   119    -9
Anvik Airport                                          Anvik                       United States               ANV  PANV       62.646702    -160.190994   291    -9
Klawock Seaplane Base                                  Klawock                     United States               AQC  PAQC   55.5546989441-133.1020050049     0    -9
Arctic Village Airport                                 Arctic Village              United States               ARC  PARC         68.1147    -145.578995  2092    -9
Atqasuk Edward Burnell Sr Memorial Airport             Atqasuk                     United States               ATK  PATQ    70.467300415-157.4360046387    96    -9
Alakanuk Airport                                       Alakanuk                    United States               AUK  PAUK   62.6800422668 -164.659927368    10    -9
Birchwood Airport                                      Belmopan                    Belize                      BCV  PABV     61.41650009   -149.5070038    83    -9
Bethel Airport                                         Bethel                      United States               BET  PABE     60.77980042   -161.8379974   126    -9
Allen Army Airfield                                    Delta Junction              United States               BIG  PABI   63.9944992065 -145.722000122  1291    -9
Buckland Airport                                       Buckland                    United States               BKC  PABL   65.9815979004 -161.149002075    31    -9
Big Mountain Airport                                   Big Mountain                United States               BMX  PABM   59.3611984253 -155.259002686   663    -9
Wiley Post Will Rogers Memorial Airport                Barrow                      United States               BRW  PABR       71.285402    -156.766008    44    -9
Barter Island LRRS Airport                             Barter Island               United States               BTI  PABA   70.1340026855 -143.582000732     2    -9
Bettles Airport                                        Bettles                     United States               BTT  PABT     66.91390228    -151.529007   647    -9
Cold Bay Airport                                       Cold Bay                    United States               CDB  PACD   55.2061004639-162.7250061035    96    -9
Merle K (Mudhole) Smith Airport                        Cordova                     United States               CDV  PACV      60.4917984   -145.4779968    54    -9
Central Airport                                        Central                     United States               CEM  PACE     65.57379913   -144.7830048   937    -9
Chalkyitsik Airport                                    Chalkyitsik                 United States               CIK  PACI   66.6449966431 -143.740005493   544    -9
Chefornak Airport                                      Chefornak                   United States               CYF  PACK   60.1492004395 -164.285995483    40    -9
Yakataga Airport                                       Yakataga                    United States               CYT  PACY   60.0820007324 -142.492996216    12    -9
Cape Romanzof LRRS Airport                             Cape Romanzof               United States               CZF  PACZ     61.78030014   -166.0390015   464    -9
Dillingham Airport                                     Dillingham                  United States               DLG  PADL     59.04470062   -158.5050049    81    -9
Deering Airport                                        Deering                     United States               DRG  PADE   66.0696029663  -162.76600647    21    -9
Unalaska Airport                                       Unalaska                    United States               DUT  PADU    53.900100708 -166.544006348    22    -9
Eagle Airport                                          Eagle                       United States               EAA  PAEG     64.77639771    -141.151001   908    -9
Elmendorf Air Force Base                               Anchorage                   United States               EDF  PAED   61.2509994507-149.8070068359   212    -9
Eek Airport                                            Eek                         United States               EEK  PAEE     60.21367264   -162.0438843    12    -9
Egegik Airport                                         Egegik                      United States               EGX  PAII   58.1855010986       -157.375    92    -9
Cape Newenham LRRS Airport                             Cape Newenham               United States               EHM  PAEH   58.6464004517  -162.06300354   541    -9
Eielson Air Force Base                                 Fairbanks                   United States               EIL  PAEI     64.66570282    -147.102005   547    -9
Elim Airport                                           Elim                        United States               ELI  PFEL     64.61470032   -162.2720032   162    -9
Elfin Cove Seaplane Base                               Elfin Cove                  United States               ELV  PAEL   58.1952018738 -136.347000122     0    -9
Emmonak Airport                                        Emmonak                     United States               EMK  PAEM     62.78609848   -164.4909973    13    -9
Kenai Municipal Airport                                Kenai                       United States               ENA  PAEN   60.5731010437-151.2449951172    99    -9
Fairbanks International Airport                        Fairbanks                   United States               FAI  PAFA     64.81510162   -147.8560028   439    -9
Ladd AAF Airfield                                      Fort Wainwright             United States               FBK  PAFB     64.83750153   -147.6139984   454    -9
Funter Bay Seaplane Base                               Funter Bay                  United States               FNR  PANR   58.2543983459 -134.897994995     0    -9
Bryant Army Heliport                                   Fort Richardson             United States               FRN  PAFR     61.26639938   -149.6529999   378    -9
Fort Yukon Airport                                     Fort Yukon                  United States               FYU  PFYU   66.5715026855        -145.25   433    -9
Edward G. Pitka Sr Airport                             Galena                      United States               GAL  PAGA     64.73619843   -156.9369965   153    -9
Gambell Airport                                        Gambell                     United States               GAM  PAGM   63.7667999268 -171.733001709    27    -9
Gulkana Airport                                        Gulkana                     United States               GKN  PAGK      62.1548996   -145.4570007  1586    -9
Golovin Airport                                        Golovin                     United States               GLV  PAGL   64.5504989624 -163.007003784    59    -9
Totegegie Airport                                      Totegegie                   French Polynesia            GMR  NTGJ  -23.0799007416-134.8899993896     7    -9
Gustavus Airport                                       Gustavus                    United States               GST  PAGS      58.4253006   -135.7070007    35    -9
Holy Cross Airport                                     Holy Cross                  United States               HCR  PAHC   62.1883010864-159.7749938965    70    -9
Healy River Airport                                    Healy                       United States               HKB  PAHV   63.8661994934-148.9689941406  1263    -9
Hoonah Airport                                         Hoonah                      United States               HNH  PAOH         58.0961    -135.410111    19    -9
Haines Airport                                         Haines                      United States               HNS  PAHN   59.2438011169-135.5240020752    15    -9
Homer Airport                                          Homer                       United States               HOM  PAHO   59.6455993652-151.4770050049    84    -9
Hooper Bay Airport                                     Hooper Bay                  United States               HPB  PAHP     61.52389908   -166.1470032    13    -9
Huslia Airport                                         Huslia                      United States               HSL  PAHL     65.69789886   -156.3509979   220    -9
